aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,model_number,product_model,ean,isbn,upc,mpn,parent_product_id,product_GTIN,in_stock,base_price
http://www.awin1.com/pclick.php?p=3875826025&a=315735&m=2374,"Adidas X_plr BLACK WHITE BLACK",3875826025,2677903296,http://www.office.co.uk/medias/sys_master/root/h2b/hdb/9109284257822.jpg,"adidas X_plrSleek, mesh running shoe with neoprene overlays, reflective 3-stripe detailing, plush sockliner and a moulded EVA midsole. - Breathable upper- Black white colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh2b%2Fhdb%2F9109284257822.jpg&feedId=12433&k=c57d6622662c9442fff99e3e49c3e124c42722be,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2677903296080",en,,GBP74.99,12433,2677903296,,,,,,,,1,
http://www.awin1.com/pclick.php?p=6593363113&a=315735&m=2374,"Adidas New York ICE PURPLE WHITE",6593363113,2138280712,http://www.office.co.uk/medias/sys_master/root/h59/h94/9115322941470.jpg,"New York by adidasPart of the adidas Original range, the New York sneaker boasts an old school 80's silhouette accompanied by modern technology and premium materials. As the name suggests - it takes inspiration from the streets of New York adding an urban edge to the overall look. Featuring a mesh upper with nubuck overlays in a ice purple colourway.- Mesh & nubuck mixed upper- Ortholite sockliner- EVA midsole- Rubber outsole- Ice purple white colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh59%2Fh94%2F9115322941470.jpg&feedId=12433&k=3be1a2bedb6f6cbd30886d7d11a608ce6b1d78ca,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2138280712070",en,,GBP74.99,12433,2138280712,,,,,,,,1,
http://www.awin1.com/pclick.php?p=7606021173&a=315735&m=2374,"Adidas Gazelle LIGHT GREY GOLD EXCLUSIVE",7606021173,2101723483,http://www.office.co.uk/medias/sys_master/root/hcf/h45/9117284696094.jpg,"Gazelle by adidasTracing back to the 60's when the Gazelle sneaker made its first appearance, it's been a huge part of popular culture ever since. Featuring nubuck uppers, rippled rubber outsole and signature branding to the side, this version comes in a grey mono colourway with gold accents.- Nubuck leather upper- Rubber sole- Light grey gold exclusive colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhcf%2Fh45%2F9117284696094.jpg&feedId=12433&k=d0c8829938b6552f153084fd5618841f34a19504,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101723483040",en,,GBP74.99,12433,2101723483,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3802505257&a=315735&m=2374,"Adidas Jeans CORE BLACK COLLEGIATE NAVY GUM",3802505257,2132805895,http://www.office.co.uk/medias/sys_master/root/h11/hf8/9098277093406.jpg,"Jeans by adidasConstructed from soft suede sitting atop a sturdy rubber gumsole - the Jeans sneaker boasts of a retro 80's silhouette and a low profile. Complete with signature 3-stripe leather branding on the side and tongue.- Suede upper- Leather accents- Leather lining- Core black collegiate navy gum  colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh11%2Fhf8%2F9098277093406.jpg&feedId=12433&k=2742810edaa1265749b944de4628758953e6a98c,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2132805895060",en,,GBP74.99,12433,2132805895,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3850981205&a=315735&m=2374,"Adidas Gazelle TRACE GREEN WHITE",3850981205,2101766787,http://www.office.co.uk/medias/sys_master/root/h79/hf4/9104984244254.jpg,"Gazelle by adidas Tracing back to the 60's when the Gazelle sneaker made its first appearance, it's been a huge part of popular culture ever since. Featuring suede uppers it's mostly recognised for, rippled rubber outsole and signature branding to the side, this version comes in a trace green colourway with white accents throughout. - Suede upper - Rubber sole - Trace green white colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh79%2Fhf4%2F9104984244254.jpg&feedId=12433&k=5b160ff131170b7171f856c84a3598410911ef3e,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101766787110",en,,GBP74.99,12433,2101766787,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3766891351&a=315735&m=2374,"Adidas Gazelle UTILITY GREY GUM",3766891351,2101723357,http://www.office.co.uk/medias/sys_master/root/h21/haa/9095858356254.jpg,"adidas GazelleClassic Gazelle silhouette with grey suede upper, synthetic leather 3-stripe and back heel tab, complete with gum rubber outsole.- Suede upper- Utility grey gum colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh21%2Fhaa%2F9095858356254.jpg&feedId=12433&k=15fd58e480f96a94d849e570bf823dc7eb0a34f4,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101723357060",en,,GBP74.99,12433,2101723357,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3766891359&a=315735&m=2374,"Adidas Munchen COLLEGIATE BURGUNDY GUM",3766891359,2135762014,http://www.office.co.uk/medias/sys_master/root/h3f/hf9/9095867203614.jpg,"adidas MunchenThe adidas Munchen first debuted in 1976 and is named after Munchen (Munich) in Germany. Featuring nubuck leather upper, synthetic leather 3-stripe branding and heel tab with gold accents and gum rubber outsole.- Nubuck leather/synthetic upper- Collegiate burgundy gum colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh3f%2Fhf9%2F9095867203614.jpg&feedId=12433&k=d4a838c557149c3a76994d37033e8c86da488a42,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2135762014090",en,,GBP74.99,12433,2135762014,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3782870565&a=315735&m=2374,"Adidas Gazelle CLAY BROWN GUM",3782870565,2101752123,http://www.office.co.uk/medias/sys_master/root/he3/h32/9097011724318.jpg,"Gazelle by adidas This classic terrace trainer features a clay toned suede upper with leather 3 stripes, gold metallic accents, synthetic lining for comfort and a rubber gumsole outsole.- Suede upper- Rubber gumsole - Clay brown gum colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhe3%2Fh32%2F9097011724318.jpg&feedId=12433&k=03f4b9bd14f1833549648456de54d78e1870aea8,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101752123070",en,,GBP74.99,12433,2101752123,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3826629005&a=315735&m=2374,"Adidas X_plr MAROON",3826629005,2677960001,http://www.office.co.uk/medias/sys_master/root/he5/h65/9102168653854.jpg,"adidas X_plrSleek, mesh running shoe with neoprene overlays, reflective 3-stripe detailing, plush sockliner and a moulded EVA midsole. - Breathable upper- Maroon colourway","Trainers > His trainers",64.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhe5%2Fh65%2F9102168653854.jpg&feedId=12433&k=f6bf98774048bcc80de4570b4e65c88e9f11a5c6,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2677960001075",en,,GBP64.99,12433,2677960001,,,,,,,,1,
http://www.awin1.com/pclick.php?p=8711794891&a=315735&m=2374,"Adidas 350 WHITE BLACK WHITE",8711794891,2523312297,http://www.office.co.uk/medias/sys_master/root/h16/he5/9118986272798.jpg,"adidas 350Crafted from premium leather, the adidas 350 sneaker is a retro style inspired by the football pitch. Featuring perforated toe box, textured tongue, rubber cupsole and signature branding.- Leather upper- Rubber outsole- White black white colourway","Trainers > His trainers",69.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh16%2Fhe5%2F9118986272798.jpg&feedId=12433&k=561b68fea827efeff88e9375c0db5b34699ee292,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2523312297100",en,,GBP69.99,12433,2523312297,,,,,,,,1,
